"Origin","Genre","Year","Avg_Rating","Avg_Votes","Weighted_Rating"
"Netflix","Drama","2018","6.76","38196","6.77"
"Netflix","Comedy","2001","8.5","55677","8.46"
"Netflix","Crime","2001","8.5","55677","8.46"
"Netflix","Comedy","2018","6.49","12548","6.61"
"Netflix","Romance","2018","6.35","36804","6.39"
"Netflix","Comedy","2003","8.6","337465","8.59"
"Netflix","Documentary","2004","7.8","28685","7.76"
"Netflix","Crime","2004","7.8","28685","7.76"
"Netflix","Drama","2004","7.8","28685","7.76"
"Hulu","Crime","2004","8.3","80963","8.28"
"Hulu","Drama","2004","8.3","80963","8.28"
"Hulu","Mystery","2004","8.3","80963","8.28"
"Hulu","Thriller","2004","8.3","80963","8.28"
"Netflix","Animation","2008","8.5","136622","8.49"
"Netflix","Action","2008","8.5","136622","8.49"
"Netflix","Adventure","2008","8.5","136622","8.49"
"Netflix","Drama","2008","8.5","136622","8.49"
"Netflix","Fantasy","2008","8.5","136622","8.49"
"Netflix","Sci-Fi","2008","8.5","136622","8.49"
"Hulu","Comedy","2005","8.7","28422","8.63"
"Amazon","Drama","2017","6.81","48155","6.8"
"Disney","Family","2005","4.9","10901","5.04"
"Disney","Music","2005","4.9","10901","5.04"
"Disney","Reality-TV","2005","4.9","10901","5.04"
"Amazon","Crime","2019","7.56","136161","7.54"
"Amazon","Drama","2019","7.02","63520","7.04"
"Amazon","Fantasy","2019","7.97","77622","7.94"
"Amazon","Mystery","2019","7.03","34015","7.03"
"Amazon","Thriller","2019","7.05","33450","7.03"
"Netflix","Biography","2019","7.24","60360","7.18"
"Netflix","Comedy","2019","6.6","19355","6.65"
"Netflix","Drama","2019","6.74","38652","6.74"
"Netflix","Music","2019","6.97","9385","6.87"
"Netflix","Comedy","2016","6.83","11172","6.84"
"Netflix","Family","2016","6.73","5376","6.7"
"Netflix","Documentary","2018","7.08","3928","6.95"
"Netflix","Crime","2018","7.17","30348","7.09"
"Netflix","Action","2021","6.47","43913","6.52"
"Netflix","Adventure","2021","6.5","25962","6.54"
"Netflix","Crime","2021","6.62","24145","6.63"
"Netflix","Drama","2021","6.48","29231","6.56"
"Netflix","Horror","2021","5.83","33772","5.95"
"Netflix","Sci-Fi","2021","6.44","55397","6.53"
"Netflix","Thriller","2021","6.25","33675","6.33"
"Netflix","War","2021","6.82","47131","6.78"
"Netflix","Family","2019","6.67","10379","6.65"
"Netflix","Romance","2019","6.54","42073","6.54"
"Netflix","Animation","2020","6.47","4068","6.59"
"Netflix","Action","2020","6.25","29093","6.41"
"Netflix","Adventure","2020","6.57","16045","6.66"
"Netflix","Fantasy","2020","6.43","19079","6.53"
"Netflix","Drama","2020","6.53","27355","6.59"
"Netflix","Horror","2020","5.97","29551","6.14"
"Netflix","Sci-Fi","2020","6.47","20629","6.5"
"Netflix","Animation","2022","6.53","7275","6.59"
"Netflix","Action","2022","6.25","22674","6.32"
"Netflix","Adventure","2022","6.47","19328","6.49"
"Netflix","Sci-Fi","2022","6.13","26974","6.29"
"Netflix","Drama","2022","6.31","19538","6.43"
"Netflix","Fantasy","2022","6.24","21796","6.42"
"Netflix","Horror","2022","6","33845","6.14"
"Netflix","Mystery","2022","6.38","38159","6.47"
"Netflix","Thriller","2022","6.31","29599","6.38"
"Netflix","Thriller","2019","6.49","48273","6.52"
"Netflix","Comedy","2020","6.27","11189","6.42"
"Netflix","Adventure","2019","6.55","51397","6.58"
"Netflix","Reality-TV","2019","6.6","1909","6.62"
"Netflix","Romance","2020","6.09","21865","6.28"
"Netflix","Comedy","2022","6.13","11220","6.35"
"Netflix","Family","2022","6.23","5983","6.4"
"Netflix","Animation","2019","6.88","14661","6.84"
"Netflix","Short","2019","6.64","11637","6.74"
"Netflix","Fantasy","2019","6.77","53407","6.74"
"Netflix","Documentary","2019","7.04","6934","6.93"
"Disney","Documentary","2018","7.2","1123","6.9"
"Disney","Family","2018","7.47","960","6.97"
"Netflix","Thriller","2020","6.22","33715","6.31"
"Netflix","Mystery","2019","6.67","47800","6.67"
"Netflix","Documentary","2020","7.05","8887","6.92"
"Netflix","Mystery","2020","6.31","30168","6.41"
"Netflix","Action","2019","6.49","50745","6.54"
"Netflix","Crime","2019","6.91","35970","6.84"
"Netflix","Documentary","2022","6.66","4200","6.67"
"Netflix","Comedy","2021","6.08","14695","6.35"
"Netflix","Fantasy","2021","6.53","26890","6.58"
"Netflix","Crime","2020","6.56","24173","6.56"
"Netflix","Animation","2021","6.66","13882","6.66"
"Netflix","Mystery","2021","6.47","35067","6.51"
"Disney","Action","2021","7.37","158629","7.35"
"Disney","Adventure","2021","7.24","86925","7.14"
"Disney","Crime","2021","6.43","69240","6.43"
"Disney","Drama","2021","7.05","34511","6.99"
"Disney","Mystery","2021","7.32","130695","7.28"
"Disney","Sci-Fi","2021","7.25","168547","7.26"
"Disney","Comedy","2022","5.92","24568","6.04"
"Disney","Family","2022","5.8","13004","6.01"
"Disney","Musical","2022","5.89","9281","6.02"
"Netflix","History","2022","6.76","21913","6.73"
"Netflix","War","2022","6.56","76954","6.62"
"Netflix","Musical","2020","6.19","10965","6.37"
"Disney","Documentary","2020","7.61","899","6.96"
"Disney","Adventure","2020","6.76","4051","6.58"
"Disney","History","2020","7.4","2660","6.99"
"Disney","Animation","2020","7.01","3333","6.79"
"Disney","Documentary","2019","7.68","1805","7.19"
"Hulu","Comedy","2020","7.68","27646","7.63"
"Hulu","Drama","2020","7.54","38220","7.52"
"Hulu","Romance","2020","8.03","50040","7.99"
"Disney","Short","2020","7.25","2059","6.89"
"Disney","Comedy","2020","6.39","4445","6.42"
"Disney","Family","2020","6.74","3793","6.58"
"Disney","Fantasy","2020","6.35","6265","6.33"
"Disney","Animation","2019","6.6","2981","6.58"
"Disney","Short","2019","6.6","2981","6.58"
"Disney","Comedy","2019","6.91","10374","6.84"
"Disney","Family","2019","6.83","17065","6.67"
"Disney","Fantasy","2019","7.74","387849","7.73"
"Disney","Animation","2021","6.85","33328","6.88"
"Netflix","Family","2020","6.32","4397","6.43"
"Hulu","Music","2020","6.5","9921","6.66"
"Hulu","Sci-Fi","2020","6.93","30398","7.04"
"Disney","Game-Show","2020","6.43","136","6.5"
"Disney","Reality-TV","2020","6.2","818","6.33"
"Disney","Action","2022","6.73","103721","6.75"
"Disney","Adventure","2022","6.39","58036","6.35"
"Disney","Fantasy","2022","6.35","62831","6.47"
"Netflix","Drama","2023","6.41","17962","6.53"
"Netflix","Romance","2023","5.91","10655","6.21"
"Netflix","Thriller","2023","6.28","22333","6.43"
"Netflix","Animation","2023","6.73","8423","6.72"
"Netflix","Action","2023","6.31","25770","6.45"
"Netflix","Adventure","2023","6.37","22378","6.51"
"Netflix","Comedy","2023","6.17","9604","6.38"
"Netflix","Family","2023","6.23","7913","6.34"
"Netflix","Fantasy","2023","6.55","15079","6.59"
"Netflix","Sci-Fi","2023","6.26","13543","6.36"
"Netflix","History","2019","7.38","59910","7.22"
"Netflix","Biography","2024","6.87","15529","6.85"
"Netflix","Drama","2024","6.29","12693","6.41"
"Netflix","History","2024","6.54","9275","6.57"
"Netflix","Music","2020","6.88","9929","6.75"
"Disney","Drama","2022","6.35","13319","6.45"
"Disney","Romance","2022","6.17","13362","6.21"
"Netflix","Biography","2020","7.26","26249","7.14"
"Netflix","Western","2021","6.7","138721","6.7"
"Netflix","Biography","2021","6.67","14316","6.69"
"Netflix","Romance","2021","5.95","8620","6.19"
"Netflix","Documentary","2021","6.81","4715","6.76"
"Netflix","Sport","2021","6.64","6085","6.68"
"Disney","Action","2020","5.7","7597","5.8"
"Netflix","Family","2021","6.37","5899","6.43"
"Netflix","Biography","2017","7.07","10383","6.98"
"Netflix","Crime","2017","7.01","95677","6.99"
"Netflix","Drama","2017","6.89","65614","6.88"
"Netflix","Thriller","2017","6.82","119694","6.83"
"Amazon","Drama","2018","6.78","40559","6.8"
"Amazon","Fantasy","2018","6.95","51636","6.83"
"Amazon","Horror","2018","6.7","101425","6.7"
"Amazon","Mystery","2018","6.63","50896","6.63"
"Amazon","Thriller","2018","6.98","84985","6.97"
"Netflix","War","2020","6.92","25692","6.83"
"Netflix","Game-Show","2019","5.78","984","6.19"
"Netflix","Sport","2019","7.17","8384","6.99"
"HBO","Comedy","2020","7.02","11392","6.84"
"HBO","Romance","2020","7.65","15861","7.58"
"Netflix","Sci-Fi","2019","6.09","35269","6.15"
"Netflix","Reality-TV","2020","6","2387","6.31"
"Hulu","Animation","2019","6.55","327","6.55"
"Hulu","Family","2019","6.1","189","6.44"
"HBO","Animation","2020","7.42","5966","7.29"
"HBO","Adventure","2020","7.38","4789","7.15"
"HBO","Family","2020","7.3","2496","7.02"
"Netflix","Crime","2024","6.4","14732","6.5"
"Netflix","Mystery","2024","6.38","18347","6.45"
"Hulu","Comedy","2019","7.5","10576","7.38"
"Hulu","Horror","2019","7","2359","6.85"
"Hulu","Sci-Fi","2019","7","2359","6.85"
"Netflix","Talk-Show","2020","5.33","376","6.1"
"Netflix","Animation","2024","6.34","4946","6.42"
"Netflix","Adventure","2024","6.2","17475","6.28"
"Netflix","Comedy","2024","6.22","10196","6.4"
"Netflix","Family","2024","6.32","7834","6.41"
"Netflix","Fantasy","2024","6.15","19804","6.28"
"Netflix","Musical","2024","5.98","5050","5.92"
"HBO","Action","2024","7.3","60464","7.29"
"HBO","Adventure","2024","7.3","60464","7.29"
"HBO","Drama","2024","7.3","60464","7.29"
"HBO","Sci-Fi","2024","7.3","60464","7.29"
"Amazon","Crime","2020","6.65","30821","6.67"
"Amazon","Drama","2020","6.82","21104","6.76"
"Amazon","Mystery","2020","6.88","33496","6.82"
"Amazon","Thriller","2020","6.15","12764","6.18"
"Netflix","Horror","2019","6.24","33736","6.28"
"Disney","Comedy","2021","6.71","21351","6.69"
"Disney","Family","2021","6.53","6040","6.53"
"Netflix","Sport","2020","7.16","18218","7.05"
"Netflix","History","2021","6.83","9645","6.83"
"HBO","Drama","2020","7.38","44305","7.32"
"HBO","Adventure","2021","7.6","40409","7.57"
"HBO","Drama","2021","6.63","17951","6.98"
"HBO","Fantasy","2021","7.6","40409","7.57"
"HBO","Mystery","2021","7.6","40409","7.57"
"HBO","Sci-Fi","2021","7.25","26916","7.22"
"HBO","Thriller","2021","7.25","26916","7.22"
"Netflix","Short","2022","6.45","3109","6.55"
"Netflix","Crime","2022","6.4","20852","6.47"
"Netflix","Musical","2022","6.07","17020","6.46"
"Netflix","Action","2024","6.13","21943","6.28"
"Netflix","Romance","2022","5.9","9787","6.15"
"Disney","Biography","2020","7.2","6767","7.08"
"Disney","Drama","2020","6.44","5889","6.48"
"Disney","Sport","2020","6.8","5264","6.75"
"HBO","Fantasy","2020","7.2","28688","7.15"
"Netflix","Music","2022","6.89","8940","6.79"
"Netflix","Animation","2017","6.46","10097","6.63"
"Netflix","Comedy","2017","6.53","12247","6.63"
"Netflix","Family","2017","6.52","8153","6.66"
"Netflix","Western","2017","6.65","18844","6.75"
"Netflix","History","2020","7.47","44982","7.41"
"Netflix","Comedy","2025","6.13","7409","6.39"
"Netflix","Crime","2023","6.46","13936","6.55"
"Amazon","Adventure","2018","6.5","1189","6.61"
"Amazon","Comedy","2018","6.48","17022","6.53"
"Amazon","Family","2018","6.5","1189","6.61"
"Disney","Sci-Fi","2022","6.84","94432","6.85"
"Disney","Crime","2022","6.63","61326","6.62"
"Disney","Mystery","2022","6.27","38926","6.46"
"Netflix","Musical","2021","5.92","9693","6.22"
"HBO","Reality-TV","2019","5.8","62","6.47"
"HBO","Romance","2019","7.1","5311","7.35"
"Netflix","Musical","2019","6.87","1993","6.79"
"HBO","Documentary","2020","7.16","2191","6.76"
"HBO","Crime","2020","7","8702","6.95"
"Netflix","Thriller","2024","6.1","16479","6.21"
"HBO","Short","2020","7.8","1184","7.18"
"HBO","Music","2020","7.3","167","6.62"
"HBO","Talk-Show","2020","7.8","1184","7.18"
"HBO","Reality-TV","2020","7.7","5603","7.4"
"Disney","Documentary","2021","7.49","3242","7.06"
"Disney","History","2021","8.03","12008","7.7"
"HBO","Documentary","2019","8.7","543","7.28"
"HBO","Game-Show","2020","7.18","4569","6.84"
"Netflix","Romance","2024","5.94","10100","6.19"
"Netflix","Sci-Fi","2024","6.21","22010","6.27"
"Disney","Biography","2021","7.9","16883","7.73"
"HBO","Action","2020","8.2","11727","8.06"
"HBO","Musical","2020","8.6","9405","8.4"
"HBO","Sci-Fi","2020","7.93","38258","7.83"
"Disney","Sci-Fi","2020","6.98","4144","6.82"
"Disney","Talk-Show","2020","6.6","459","6.54"
"Disney","Documentary","2022","7.15","1311","6.9"
"Disney","Biography","2022","7.06","2662","6.83"
"Disney","Reality-TV","2019","6.8","587","6.64"
"Hulu","Documentary","2019","7.1","109","6.57"
"Disney","Sport","2021","7.3","5994","7.19"
"Disney","Sport","2022","7.02","3585","6.76"
"Netflix","Biography","2022","6.71","15660","6.72"
"Netflix","Game-Show","2020","6.09","2835","6.27"
"Netflix","Short","2020","6.51","1820","6.53"
"Netflix","Short","2021","6.45","1349","6.53"
"Hulu","Documentary","2020","7","2722","6.87"
"Hulu","Biography","2020","7.67","25907","7.58"
"Amazon","Adventure","2020","7.1","806","6.77"
"Amazon","Comedy","2020","6.98","72230","6.89"
"Amazon","Family","2020","7.1","806","6.77"
"Amazon","Fantasy","2020","7.1","806","6.77"
"Netflix","History","2023","6.85","19546","6.8"
"Netflix","Short","2017","6.48","2561","6.56"
"Netflix","Mystery","2017","7.08","108352","7.03"
"Netflix","Music","2021","6.35","5833","6.52"
"Disney","Reality-TV","2022","5.55","890","6.47"
"Disney","Animation","2022","5.91","17977","6.03"
"Amazon","Action","2019","7.42","224052","7.41"
"Amazon","Comedy","2019","7.2","132561","7.19"
"Amazon","Sci-Fi","2019","7.45","219228","7.45"
"Netflix","Western","2020","5.97","3865","6.25"
"Netflix","Documentary","2023","6.68","4366","6.68"
"Netflix","Crime","2025","6.56","12213","6.61"
"Netflix","Mystery","2025","6.38","15089","6.43"
"Netflix","Thriller","2025","6.13","16663","6.26"
"Disney","Music","2020","6.83","7538","6.7"
"Disney","Musical","2020","6.74","2992","6.68"
"Amazon","Adventure","2016","7","62329","6.98"
"Amazon","Biography","2016","7.45","53589","7.24"
"Amazon","Drama","2016","7.07","77634","7.05"
"Amazon","History","2016","6.95","36575","6.9"
"Hulu","Adventure","2020","8","17464","7.53"
"Hulu","Reality-TV","2020","8.1","772","7.2"
"Disney","Action","2024","6.85","67290","6.76"
"Disney","Adventure","2024","6.85","67290","6.76"
"Disney","Fantasy","2024","6.73","89293","6.72"
"Disney","Mystery","2024","4.3","137915","4.32"
"Disney","Sci-Fi","2024","6.85","67290","6.76"
"Disney","Thriller","2024","4.3","137915","4.32"
"Amazon","Biography","2018","7.1","75838","7.09"
"Disney","Fantasy","2021","7.12","101901","7.09"
"Disney","Horror","2021","6.1","2666","6.21"
"Disney","Thriller","2021","7.1","8762","7.11"
"Amazon","Horror","2020","6.2","18611","6.22"
"Amazon","Sci-Fi","2020","7.13","43502","7.12"
"Disney","Action","2023","6.52","42105","6.54"
"Disney","Adventure","2023","6.02","22223","6.24"
"Disney","Family","2023","5.76","4985","6.2"
"Disney","Fantasy","2023","6.12","23680","6.35"
"Netflix","Documentary","2024","6.72","2796","6.67"
"Hulu","Action","2017","6.93","20047","6.95"
"Hulu","Drama","2017","7.28","66035","7.15"
"Hulu","Sci-Fi","2017","7.57","116252","7.55"
"Netflix","Fantasy","2017","6.46","35818","6.5"
"Netflix","Horror","2017","6.41","47880","6.42"
"Netflix","Talk-Show","2019","7.4","98","6.59"
"Amazon","Documentary","2020","6.9","2102","6.77"
"Disney","Animation","2018","7.5","780","6.94"
"Disney","Short","2018","7.5","780","6.94"
"Disney","Comedy","2018","7.5","780","6.94"
"Netflix","News","2020","6.3","4530","6.34"
"Disney","Thriller","2022","7.17","112854","7.18"
"Netflix","Mystery","2023","6.18","18862","6.32"
"Disney","Mystery","2020","7.15","5055","6.9"
"Amazon","Comedy","2016","6.73","27596","6.69"
"Amazon","Family","2016","6.9","198","6.57"
"Netflix","Sport","2024","6.48","3027","6.46"
"Disney","Western","2020","7.9","1705","7.39"
"Disney","Mystery","2023","5.9","29931","6.18"
"Disney","Sci-Fi","2023","5.74","32362","6.2"
"Disney","Thriller","2023","6","34938","6.1"
"Disney","Romance","2021","8.1","15248","8"
"Disney","War","2021","8.1","15248","8"
"Netflix","Reality-TV","2021","6.03","928","6.35"
"Disney","Short","2022","6.95","15501","6.87"
"Disney","Action","2025","6.67","51175","6.65"
"Disney","Adventure","2025","5.95","38032","5.94"
"Disney","Fantasy","2025","7","39588","6.92"
"Disney","Sci-Fi","2025","6.67","51175","6.65"
"Disney","Animation","2024","7.95","24478","7.78"
"Disney","Drama","2024","7.2","41785","7.04"
"Disney","Family","2024","7.2","1280","6.9"
"Disney","Animation","2025","7.75","10391","7.59"
"Disney","Comedy","2025","7.75","10391","7.59"
"Disney","Family","2025","8","4827","7.74"
"Disney","Sport","2025","8","4827","7.74"
"Disney","Short","2021","6.94","3682","6.84"
"Disney","Game-Show","2021","5","207","6.25"
"Disney","Reality-TV","2021","5","207","6.25"
"Disney","Drama","2023","6.32","7842","6.44"
"Disney","Sport","2023","6.82","639","6.49"
"Netflix","Drama","2015","7.84","117548","7.73"
"Netflix","War","2015","7.7","89822","7.69"
"Netflix","Action","2017","6.82","75054","6.85"
"Netflix","Adventure","2017","6.62","31039","6.75"
"Netflix","Sci-Fi","2017","6.64","70268","6.77"
"Netflix","Sport","2022","6.49","13343","6.53"
"Netflix","Horror","2023","5.87","14997","6.14"
"Netflix","Romance","2017","6.47","31105","6.45"
"Disney","Musical","2021","6.8","3485","6.67"
"Netflix","Animation","2015","6.56","5427","6.72"
"Netflix","Action","2015","7.38","126664","7.33"
"Netflix","Adventure","2015","6.22","8121","6.43"
"Netflix","Comedy","2015","6.55","13469","6.72"
"Netflix","Family","2015","6.3","2009","6.58"
"Netflix","Sci-Fi","2015","7.35","119438","7.32"
"Netflix","Horror","2024","6.11","16538","6.17"
"Disney","Crime","2023","5.6","24566","5.78"
"Netflix","Talk-Show","2021","5.67","427","6.24"
"Netflix","Action","2025","6.23","18819","6.34"
"Netflix","Drama","2025","6.34","10674","6.49"
"Netflix","Biography","2023","7.09","16036","6.98"
"Netflix","Animation","2025","6.61","8535","6.65"
"Netflix","Adventure","2025","6.24","17572","6.29"
"Netflix","Family","2025","6.54","10150","6.72"
"Netflix","Fantasy","2025","6.51","13575","6.5"
